NCES_school_ID,low_grade,high_grade,schoool_name,district,county,address,city,state,ZIP,location,students,teachers
80336001894,9,12,AUL Denver,School District No. 1 in the county of Denver and State of C,Denver County,2417 W. 29TH AVE,DENVER,CO,80211,City: Large,160,9.92
80234001759,KG,8,Aurora Academy Charter School,Aurora Joint District No. 28 of the counties of Adams and A,Arapahoe County,10251 EAST 1ST AVE,AURORA,CO,80010,City: Large,517,40.98
80234000056,9,12,Aurora Central High School,Aurora Joint District No. 28 of the counties of Adams and A,Arapahoe County,11700 EAST 11TH AVE,AURORA,CO,80010,City: Large,1807,118.14
80234002009,PK,8,Aurora Frontier K-8,Aurora Joint District No. 28 of the counties of Adams and A,Arapahoe County,3200 S JERICHO WAY,AURORA,CO,80013,City: Large,739,42.94
80234000054,6,8,Aurora Hills Middle School,Aurora Joint District No. 28 of the counties of Adams and A,Arapahoe County,1009 SOUTH UVALDA ST,AURORA,CO,80012,City: Large,694,41.4
80234001674,KG,8,Aurora Quest K-8,Aurora Joint District No. 28 of the counties of Adams and A,Arapahoe County,17315 E. 2ND AVE,AURORA,CO,80011,City: Large,592,27.12
80234006787,6,7,Aurora Science & Tech Middle School,Aurora Joint District No. 28 of the counties of Adams and A,Adams County,10455 EAST 25TH AVENUE,AURORA,CO,80010,City: Large,335,20.92
80234000082,6,12,Aurora West College Preparatory Academy,Aurora Joint District No. 28 of the counties of Adams and A,Arapahoe County,10100 EAST 13TH AVE,AURORA,CO,80010,City: Large,1132,54.17
80264000159,KG,5,Avery/Parsons Elementary School,Buena Vista School District No. R-31,Chaffee County,P O BOX 2027,BUENA VISTA,CO,81211,Rural: Fringe,396,30.13
80354001530,KG,5,Avon Elementary School,Eagle County School District No. Re 50,Eagle County,P O BOX 7567,AVON,CO,81620,Town: Remote,304,30.99
80615001069,PK,5,Avondale Elementary School,Pueblo County School District 70,Pueblo County,213 HIGHWAY 50 EAST,AVONDALE,CO,81022,Rural: Distant,176,11.69
80002006768,PK,8,Axis International Academy,State Charter School Institute,Larimer County,2130 WEST HORSETOOTH ROAD,FORT COLLINS,CO,80526,City: Midsize,199,14.3
80234006399,PK,8,AXL Academy,Aurora Joint District No. 28 of the counties of Adams and A,Arapahoe County,14100 EAST JEWELL AVENUE,AURORA,CO,80012,City: Large,375,30.84
